,ARG,ASN,ASP,GLN,GLY,LEU,LYS,PHE,PRO,SER,TRP,TYR,VAL,CYS,GLU,HIS,ILE,THR,ALA,MET
1o2j,0.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o2n,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o2o,0.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o2q,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o2r,0.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o2s,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1o2w,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
1o2z,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o30,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o33,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1o35,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1o36,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o38,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o3d,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o3f,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o3i,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1o3j,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
1o3l,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1o3p,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
1o5a,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0
1o5b,1.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
1o5c,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0
1o5e,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0
1o5g,0.0,0.0,3.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0
1o5r,1.0,0.0,4.0,0.0,1.0,4.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0
1o7o,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
1o86,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0
1oar,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1oau,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1oba,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1obx,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
1ocq,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0
1od8,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
1odi,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0
1odj,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0
1oe8,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1ofz,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
1ogd,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
1ogg,1.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0
1ogx,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
1ogz,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1ohr,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
1oif,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
1okl,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1oko,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1ols,3.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0,1.0
1olu,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0
1olx,3.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0,1.0
1om1,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0
1ony,2.0,0.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1onz,1.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1ork,1.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0
1os0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0
1os5,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
1oss,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1owe,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
1owh,1.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0
1oxr,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0
1oyq,0.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
1oyt,0.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0
1oz0,3.0,4.0,4.0,1.0,4.0,0.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
1p19,1.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0
1p1n,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0
1p1o,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0
1p1q,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0
1p57,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0
1pa9,2.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
1pb8,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1pb9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1pbq,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1pdz,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1pfu,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
1pgp,2.0,2.0,0.0,1.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
1phw,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1pkx,1.0,1.0,1.0,0.0,5.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0
1pme,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0
1pot,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
1ppc,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
1pph,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1ppi,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,4.0,1.0,0.0,2.0,0.0
1ppk,0.0,1.0,3.0,0.0,4.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
1ppl,0.0,1.0,4.0,1.0,4.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0
1ppm,0.0,1.0,3.0,1.0,5.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0
1pr5,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0
1pro,1.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
1ps3,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
1pvn,2.0,1.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0
1px4,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
1pxn,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0
1pxo,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0
1pxp,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
1pyn,4.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0
1pz5,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0
1pzi,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1pzo,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
1pzp,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0
1q1g,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
1q54,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,0.0
1q5k,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1q65,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1q72,1.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1q7a,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
1q84,1.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
1q8t,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0
1q8u,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0
1q8w,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0
1q91,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1q95,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
1qan,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0
1qaw,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,3.0,0.0
1qb1,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
1qb6,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
1qb9,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
1qbn,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
1qbo,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
1qbq,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
1qbr,1.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
1qbs,1.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
1qbt,1.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
1qbu,1.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
1qbv,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0
1qf0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0
1qf1,1.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0
1qf2,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0
1qft,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1qhc,0.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0
1qi0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
1qin,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0
1qji,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0
1qk3,0.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
1qk4,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
1qka,3.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,6.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0
1qkb,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1qkt,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0
1ql7,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
1ql9,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
1qxk,3.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
1qxl,1.0,0.0,4.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0
1qy1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1qy2,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1qyg,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1r0p,2.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0
1r1h,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
1r1j,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
1r4w,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1r5y,0.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
1r6n,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0
1r9l,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
1rbp,1.0,0.0,1.0,2.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0
1rd4,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0
1rmz,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0
1rnt,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1ro6,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0
1ro7,0.0,5.0,2.0,3.0,5.0,2.0,0.0,2.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
1rp7,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,4.0,3.0,1.0,0.0,1.0,2.0
1rpj,1.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
1rql,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0
1rr6,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
1s38,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1s39,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
1s5z,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
1s63,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1s89,1.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
1sb1,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0
